timestamp,sensor_id,temperature,humidity
2026-09-01T07:30:00.000Z,SENS-05,19.30,62.40
2026-09-01T06:45:00.000Z,SENS-02,20.80,51.60
2026-09-01T06:00:00.000Z,SENS-01,18.42,58.20
2026-09-01T06:15:00.000Z,SENS-02,20.15,52.40
2026-09-01T06:45:00.000Z,SENS-03,22.80,49.10
2026-09-01T06:30:00.000Z,SENS-01,18.90,57.80
2026-09-01T07:15:00.000Z,SENS-04,24.10,43.50
2026-09-01T07:00:00.000Z,SENS-03,23.05,48.70
2026-09-01T06:15:00.000Z,SENS-04,23.50,44.90
2026-09-01T07:45:00.000Z,SENS-01,19.50,56.10
2026-09-01T07:15:00.000Z,SENS-02,21.20,50.80
2026-09-01T08:30:00.000Z,SENS-03,24.60,46.20
2026-09-01T07:00:00.000Z,SENS-04,23.85,44.10
2026-09-01T08:00:00.000Z,SENS-05,19.80,61.50
2026-09-01T06:45:00.000Z,SENS-05,19.10,63.20
2026-09-01T08:15:00.000Z,SENS-01,20.10,55.40
2026-09-01T08:45:00.000Z,SENS-02,22.00,49.30
2026-09-01T07:30:00.000Z,SENS-03,23.40,48.00
2026-09-01T09:15:00.000Z,SENS-04,25.30,41.80
2026-09-01T07:45:00.000Z,SENS-02,21.60,50.10
2026-09-01T08:00:00.000Z,SENS-03,23.90,47.30
2026-09-01T09:30:00.000Z,SENS-05,20.40,59.80
2026-09-01T08:15:00.000Z,SENS-04,24.50,42.90
2026-09-01T09:45:00.000Z,SENS-01,21.30,53.20
2026-09-01T08:30:00.000Z,SENS-05,20.05,60.70
2026-09-01T10:15:00.000Z,SENS-02,23.10,47.50
2026-09-01T08:45:00.000Z,SENS-01,20.50,54.60
2026-09-01T10:30:00.000Z,SENS-03,25.80,44.50
2026-09-01T09:00:00.000Z,SENS-02,22.30,48.70
2026-09-01T09:15:00.000Z,SENS-03,24.95,45.60
2026-09-01T10:45:00.000Z,SENS-04,26.40,40.10
2026-09-01T09:00:00.000Z,SENS-04,25.00,42.30
2026-09-01T09:15:00.000Z,SENS-05,20.30,60.10
2026-09-01T11:00:00.000Z,SENS-01,22.40,51.50
2026-09-01T09:30:00.000Z,SENS-02,22.70,48.00
2026-09-01T11:15:00.000Z,SENS-05,21.50,57.60
2026-09-01T09:45:00.000Z,SENS-03,25.20,45.00
2026-09-01T10:00:00.000Z,SENS-04,25.90,41.00
2026-09-01T11:45:00.000Z,SENS-02,24.20,45.80
2026-09-01T10:15:00.000Z,SENS-01,21.70,52.50
2026-09-01T10:00:00.000Z,SENS-05,20.70,59.20
2026-09-01T12:00:00.000Z,SENS-03,26.90,42.80
2026-09-01T10:30:00.000Z,SENS-01,21.90,52.00
2026-09-01T10:45:00.000Z,SENS-05,21.10,58.30
2026-09-01T12:30:00.000Z,SENS-04,27.50,38.70
2026-09-01T11:00:00.000Z,SENS-03,26.10,43.90
2026-09-01T11:15:00.000Z,SENS-04,26.70,39.60
2026-09-01T12:45:00.000Z,SENS-01,23.30,50.10
2026-09-01T11:30:00.000Z,SENS-02,23.80,46.40
2026-09-01T11:45:00.000Z,SENS-03,26.50,43.20
2026-09-01T13:15:00.000Z,SENS-02,25.10,44.20
2026-09-01T11:30:00.000Z,SENS-05,21.70,57.00
2026-09-01T12:00:00.000Z,SENS-01,22.80,50.90
2026-09-01T13:30:00.000Z,SENS-05,22.60,55.30
2026-09-01T12:15:00.000Z,SENS-02,24.50,45.20
